Time,CPU,user,nice,system,iowait,steal,idle,cpu_utilization
13:24:51,all,1.86,0.0,2.31,0.31,0.0,95.52,4.48
13:25:06,all,1.75,0.0,2.28,0.14,0.0,95.82,4.18
13:25:21,all,1.95,0.0,2.36,0.12,0.0,95.57,4.43
13:25:36,all,1.83,0.0,2.52,0.1,0.0,95.56,4.44
13:25:51,all,1.88,0.0,2.27,0.12,0.0,95.73,4.27
13:26:06,all,40.55,0.0,24.19,1.06,0.0,34.2,65.8
13:26:21,all,57.87,0.0,37.13,0.28,0.0,4.72,95.28
13:26:36,all,31.39,0.0,27.08,7.24,0.0,34.3,65.7
13:26:51,all,32.74,0.0,33.0,2.61,0.0,31.65,68.35
13:27:06,all,23.9,0.0,31.54,4.83,0.0,39.73,60.27
13:27:21,all,28.33,0.0,36.81,2.23,0.0,32.63,67.37
13:27:36,all,44.71,0.0,45.38,1.15,0.0,8.76,91.24
13:27:51,all,32.5,0.0,45.58,3.47,0.0,18.44,81.56
13:28:06,all,26.39,0.0,41.46,2.57,0.0,29.59,70.41
13:28:21,all,25.09,0.0,39.45,2.33,0.0,33.14,66.86
13:28:36,all,28.61,0.0,42.74,1.91,0.0,26.74,73.26
13:28:51,all,31.4,0.0,44.63,1.22,0.0,22.75,77.25
13:29:06,all,30.68,0.0,41.61,2.25,0.0,25.45,74.55
13:29:21,all,29.3,0.0,42.53,1.6,0.0,26.57,73.43
13:29:36,all,41.65,0.0,48.37,0.98,0.0,9.0,91.0
13:29:51,all,35.09,0.0,41.52,3.23,0.0,20.16,79.84
13:30:06,all,25.94,0.0,40.55,1.59,0.0,31.93,68.07
13:30:21,all,25.34,0.0,38.6,1.78,0.0,34.28,65.72
13:30:36,all,27.83,0.0,35.98,2.54,0.0,33.65,66.35
13:30:51,all,27.42,0.0,39.55,1.56,0.0,31.47,68.53
13:31:06,all,26.03,0.0,39.26,1.94,0.0,32.77,67.23
13:31:21,all,25.05,0.0,35.39,2.82,0.0,36.74,63.26
13:31:36,all,15.23,0.0,21.75,5.01,0.0,58.01,41.99
13:31:51,all,2.9,0.0,8.23,3.5,0.0,85.37,14.63
13:32:06,all,2.04,0.0,8.49,0.52,0.0,88.94,11.06
13:32:21,all,2.27,0.0,9.11,0.25,0.0,88.36,11.64
13:32:36,all,2.11,0.0,9.67,0.09,0.0,88.13,11.87
13:32:51,all,2.35,0.0,4.87,0.17,0.0,92.62,7.38
13:33:06,all,2.17,0.0,3.15,0.13,0.0,94.55,5.45
13:33:21,all,2.08,0.0,1.87,0.13,0.0,95.92,4.08
13:33:36,all,1.94,0.0,2.03,0.19,0.0,95.85,4.15
13:33:51,all,2.05,0.0,2.75,0.32,0.0,94.87,5.13
13:34:06,all,2.07,0.0,1.8,0.1,0.0,96.03,3.97
